Sample,Raw Data,LPF,HPF
0,0,0,0
1,5125,0,0
2,10125,12,9
3,14875,54,3
4,19259,170,-59
5,23169,443,-119
6,26509,990,32
7,29195,1939,411
8,31163,3405,366
9,32363,5447,-1182
10,32767,8051,366
11,32363,11118,412
12,31163,14474,34
13,29195,17901,-117
14,26509,21172,-56
15,23169,24083,7
16,19259,26477,13
17,14875,28248,4
18,10125,29336,4
19,5125,29702,5
20,0,29336,5
21,-5126,28248,5
22,-10125,26464,5
23,-14876,24029,6
24,-19260,21002,5
25,-23170,17458,4
26,-26509,13484,4
27,-29196,9177,3
28,-31164,4645,2
29,-32364,-1,2
30,-32767,-4648,0
31,-32364,-9180,0
32,-31164,-13486,-1
33,-29196,-17460,-2
34,-26509,-21005,-3
35,-23170,-24032,-4
36,-19260,-26467,-5
37,-14876,-28251,-5
38,-10125,-29339,-6
39,-5126,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
,,-29339,-6
,,-28251,-7
,,-26467,-6
,,-24032,-6
,,-21005,-6
,,-17460,-5
,,-13486,-5
,,-9180,-4
,,-4648,-4
,,-1,-2
,,4645,-2
,,9177,-1
,,13484,0
,,17458,1
,,21002,2
,,24029,3
,,26464,3
,,28248,4
,,29336,4
,,29702,5
,,29336,5
,,28248,5
,,26464,5
,,24029,6
,,21002,5
,,17458,4
,,13484,4
,,9177,3
,,4645,2
,,-1,2
,,-4648,0
,,-9180,0
,,-13486,-1
,,-17460,-2
,,-21005,-3
,,-24032,-4
,,-26467,-5
,,-28251,-5
,,-29339,-6
,,-29704,-6
